
Fixing categories for 291 pages via JSON-LD breadcrumbs...

[141/291] ✅ Products, Microscope Cameras
[142/291] ✅ Products, Microscope Cameras
[143/291] ✅ Products, Microscope Cameras
[144/291] ✅ Products, Microscope Cameras
[145/291] ✅ Products, Microscope Cameras
[146/291] ✅ Products, Microscope Cameras
[147/291] ✅ Products, Microscope Cameras
[148/291] ✅ Products, Microscope Cameras
[149/291] ✅ Products, Microscope Cameras
[150/291] ✅ Products, Microscope Cameras
[151/291] ✅ Products, Microscope Cameras
[152/291] ✅ Products, Microscope Cameras
[153/291] ✅ Products, Microscope Cameras
[154/291] ✅ Products, Microscope Cameras
[155/291] ✅ Products, Microscope Cameras
[156/291] ✅ Products, Microscope Cameras
[157/291] ✅ Products, Microscope Cameras
[158/291] ✅ Products, Microscope Cameras
[159/291] ✅ Products, Microscope Cameras
[160/291] ✅ Products, Surgical Microscopes
[161/291] ✅ Products, Surgical Microscopes
[162/291] ✅ Products, Surgical Microscopes
[163/291] ✅ Products, Surgical Microscopes
[164/291] ✅ Products, Surgical Microscopes
[165/291] ✅ Products, Products
[166/291] ✅ Products, Microscope Cameras
[167/291] ✅ Products, Microscope Cameras
[168/291] ✅ Products, Microscope Cameras
[169/291] ✅ Products, Microscope Software
[170/291] ✅ Products, Microscope Software
[171/291] ✅ Products, Microscope Software
[172/291] ✅ Products, Microscope Imaging Software
[173/291] ✅ Products, Microscope Software
[174/291] ✅ Products, Microscope Software
[175/291] ✅ Products, Microscope Cameras
[176/291] ✅ Products, Microscope Software
[177/291] ✅ Products, Sample Preparation for Electron Microscopy
[178/291] ✅ Products, Sample Preparation for Electron Microscopy
[179/291] ✅ Products, Sample Preparation for Electron Microscopy
[180/291] ⚠️  Fallback: Products, Sample Preparation For Electron Microscopy
[181/291] ✅ Products, Sample Preparation for Electron Microscopy
[182/291] ✅ Products, Sample Preparation for Electron Microscopy
[183/291] ✅ Products, Sample Preparation for Electron Microscopy
[184/291] ✅ Products, Sample Preparation for Electron Microscopy
[185/291] ✅ Products, Digital Microscopes
[186/291] ✅ Products, Light Microscopes
[187/291] ✅ Products, Light Microscopes
[188/291] ✅ Products, Upright Microscopes
[189/291] ✅ Products, Upright Microscopes,Ergonomic Accessories for Stereo Microscopes and Macroscopes
[190/291] ✅ Products, Light Microscopes
[191/291] ✅ Products, Light Microscopes
[192/291] ✅ Products, Light Microscopes
[193/291] ✅ Products, Light Microscopes
[194/291] ✅ Products, Light Microscopes
[195/291] ✅ Products, Light Microscopes
[196/291] ✅ Products, Light Microscopes
[197/291] ✅ Products, Light Microscopes
[198/291] ✅ Products, Light Microscopes
[199/291] ✅ Products, Stereo Microscopes
[200/291] ✅ Products, Compound Light Microscopes
[201/291] ✅ Products, Light Microscopes
[202/291] ✅ Products, Inverted Microscopes
[203/291] ✅ Products, Light Microscopes
[204/291] ✅ Products, Upright Microscopes
[205/291] ✅ Products, Light Microscopes
[206/291] ✅ Products, Stereo Microscopes
[207/291] ✅ Products, Light Microscopes
[208/291] ✅ Products, Stereo Microscopes
[209/291] ✅ Products, Light Microscopes
[210/291] ⚠️  Fallback: Products, Stereo Microscopes
[211/291] ✅ Products, Stereo Microscopes
[212/291] ⚠️  Fallback: Products, Light Microscopes
[213/291] ⚠️  Fallback: Products, Stereo Microscopes
[214/291] ✅ Products, Stereo Microscopes,Compound Light Microscopes
[215/291] ✅ Products, Light Microscopes
[216/291] ✅ Products, Light Microscopes
[217/291] ✅ Products, Light Microscopes
[218/291] ✅ Products, Light Microscopes
[219/291] ✅ Products, Light Microscopes
[220/291] ✅ Products, Light Microscopes
[221/291] ✅ Products, Products
[222/291] ✅ Products, Products
[223/291] ✅ Products, Microscope Parts &amp; Accessories,Microscope Imaging Software
[224/291] ✅ Products, Microscope Parts & Accessories
[225/291] ✅ Products, Microscope Parts & Accessories
[226/291] ✅ Products, Microscope Parts & Accessories
[227/291] ✅ Products, Sample Preparation for Electron Microscopy
[228/291] ✅ Products, Sample Preparation for Electron Microscopy
[229/291] ⚠️  Fallback: Products, Sample Preparation For Electron Microscopy
[230/291] ✅ Products, Service
[231/291] ✅ Products, Service &amp; Support
[232/291] ✅ Products, Surgical Microscopes
[233/291] ✅ Products, Surgical Microscopes
[234/291] ✅ Products, Surgical Microscopes
[235/291] ✅ Products, Surgical Microscopes
[236/291] ✅ Products, Sample Preparation for Electron Microscopy
[237/291] ✅ Products, Sample Preparation for Electron Microscopy
[238/291] ⚠️  Fallback: Products, Sample Preparation For Electron Microscopy
[239/291] ✅ Products, Sample Preparation for Electron Microscopy
[240/291] ✅ Products, Electron Microscope Sample Preparation
[241/291] ✅ Products, Light Microscopes
[242/291] ✅ Products, Light Microscopes
[243/291] ✅ Products, Light Microscopes
[244/291] ✅ Products, Light Microscopes
[245/291] ✅ Products, Upright Microscopes
[246/291] ✅ Products, Light Microscopes
[247/291] ✅ Products, Microscope Software
[248/291] ✅ Products, Confocal Microscopes
[249/291] ✅ Products, Confocal Microscopes
[250/291] ✅ Products, Confocal Microscopes
[251/291] ✅ Products, Confocal Microscopes
[252/291] ✅ Products, Confocal Microscopes
[253/291] ✅ Products, Confocal Microscopes
[254/291] ✅ Products, Confocal Microscopes
[255/291] ✅ Products, Confocal Microscopes
[256/291] ✅ Products, Confocal Microscopes
[257/291] ✅ Products, Confocal Microscopes
[258/291] ✅ Products, Confocal Microscopes
[259/291] ✅ Products, Confocal Microscopes
[260/291] ✅ Products, Confocal Microscopes
[261/291] ✅ Products, Confocal Microscopes
[262/291] ✅ Products, Confocal Microscopes
[263/291] ✅ Products, Digital Microscopes
[264/291] ✅ Products, Digital Microscopes
[265/291] ✅ Products, Digital Microscopes
[266/291] ⚠️  Fallback: Products, Stereo Microscopes
[267/291] ✅ Products, Light Microscopes
[268/291] ✅ Products, Light Microscopes
[269/291] ✅ Products, Light Microscopes
[270/291] ✅ Products, Light Microscopes
[271/291] ✅ Products, Inverted Microscopes
[272/291] ✅ Products, Light Microscopes
[273/291] ✅ Products, Light Microscopes
[274/291] ✅ Products, Light Microscopes
[275/291] ✅ Products, Light Microscopes
[276/291] ✅ Products, Light Microscopes
[277/291] ✅ Products, Light Microscopes
[278/291] ✅ Products, Light Microscopes
[279/291] ✅ Products, Light Microscopes
[280/291] ✅ Products, Compound Light Microscopes
[281/291] ✅ Products, Light Microscopes
[282/291] ✅ Products, Upright Microscopes
[283/291] ✅ Products, Light Microscopes
[284/291] ✅ Products, Microscope Parts & Accessories
[285/291] ✅ Products, Microscope Cameras
[286/291] ✅ Products, Sample Preparation for Electron Microscopy
[287/291] ✅ Products, Surgical Microscopes
[288/291] ✅ Products, Surgical Microscopes
[289/291] ✅ Products, Surgical Microscopes
[290/291] ✅ Products, Surgical Microscopes
[291/291] ✅ Products, Surgical Microscopes

=======================================================
  JSON-LD scraped: 280
  URL fallback:    11
=======================================================

   58 - Products, Light Microscopes
   41 - Products, Surgical Microscopes
   34 - Products, Microscope Cameras
   30 - Products, Microscope Parts & Accessories
   24 - Products, Confocal Microscopes
   23 - Products, Sample Preparation for Electron Microscopy
   16 - Products, Microscope Software
   15 - Products, Stereo Microscopes
    8 - Products, Upright Microscopes
    7 - Products, Products
    6 - Products, Digital Microscopes
    5 - Products, Microscope Parts &amp; Accessories
    4 - Products, Sample Preparation For Electron Microscopy
    4 - Products, Service
    4 - Products, LED Illumination
    3 - Products, Inverted Microscopes
    2 - Products, Compound Light Microscopes
    1 - Products, Light Sheet Microscopes
    1 - Products, Microscope Imaging Software
    1 - Products, Upright Microscopes,Ergonomic Accessories for Stereo Microscopes and Macroscopes
    1 - Products, Stereo Microscopes,Compound Light Microscopes
    1 - Products, Microscope Parts &amp; Accessories,Microscope Imaging Software
    1 - Products, Service &amp; Support
    1 - Products, Electron Microscope Sample Preparation
